country,unit,iso_code,type,model,status,site_name,site_location,owner_long_name,latest_thermal_power,latest_gross_electr_power,original_design_net_electr_power,latest_ref_unit_power_net,construction_date,criticality_date,grid_date,commercial_date,suspended_operation_date,susp_op_end_date,permanent_shutdown_date,operator_long_name,load_factor,lifetime_electr_supplied
CANADA,BRUCE-5,CA,PHWR ,CANDU 750B,Operational,BRUCE B,,Ontario Power Generation,2832,872,822,817,1978-05-31,1984-11-14,1984-12-01,1985-02-28,,,,Bruce Power,85.26,244.41
CANADA,BRUCE-6,CA,PHWR ,CANDU 750B,Operational,BRUCE B,,Ontario Power Generation,2690,872,822,817,1978-01-01,1984-05-29,1984-06-26,1984-09-14,,,,Bruce Power,75.68,213.6
CANADA,BRUCE-7,CA,PHWR ,CANDU 750B,Operational,BRUCE B,,Ontario Power Generation,2832,872,822,817,1979-05-01,1986-01-07,1986-02-22,1986-04-10,,,,Bruce Power,85.34,238.14
CANADA,BRUCE-8,CA,PHWR ,CANDU 750B,Operational,BRUCE B,,Ontario Power Generation,2690,872,795,817,1979-07-30,1987-02-13,1987-03-07,1987-05-20,,,,Bruce Power,83.45,224.56
CANADA,DARLINGTON-1,CA,PHWR ,CANDU 850,Operational,DARLINGTON,Inland near a lake,Ontario Power Generation,2776,934,881,878,1982-04-01,1990-10-29,1990-12-19,1992-11-14,,,,Ontario Power Generation,77.42,196.63
CANADA,DARLINGTON-2,CA,PHWR ,CANDU 850,Operational,DARLINGTON,Inland near a lake,Ontario Power Generation,2776,934,881,878,1981-09-01,1989-11-05,1990-01-15,1990-10-09,,,,Ontario Power Generation,71.7,190.86
CANADA,DARLINGTON-3,CA,PHWR ,CANDU 850,Operational,DARLINGTON,Inland near a lake,Ontario Power Generation,2776,934,881,878,1984-09-01,1992-11-09,1992-12-07,1993-02-14,,,,Ontario Power Generation,78.4,193.17
CANADA,DARLINGTON-4,CA,PHWR ,CANDU 850,Operational,DARLINGTON,Inland near a lake,Ontario Power Generation,2776,934,881,878,1985-07-01,1993-03-13,1993-04-17,1993-06-14,,,,Ontario Power Generation,82.0,200.29
CANADA,DOUGLAS POINT,CA,PHWR ,CANDU 200,Permanent Shutdown,DOUGLAS POINT,Inland near a lake,"ATOMIC ENERGY OF CANADA, LTD.",704,218,203,206,1960-02-01,1966-11-15,1967-01-07,1968-09-26,,,1984-05-04,ONTARIO HYDRO,55.61,
CANADA,GENTILLY-1,CA,HWLWR,HW BLWR 250,Permanent Shutdown,GENTILLY,Inland near a river,Canadian Nuclear Laboratories Limited,792,266,250,250,1966-09-01,1970-11-12,1971-04-05,1972-05-01,,,1977-06-01,HYDRO QUEBEC,5.73,
CANADA,GENTILLY-2,CA,PHWR ,CANDU 6,Permanent Shutdown,GENTILLY,Inland near a river,HYDRO QUEBEC,2156,675,645,635,1974-04-01,1982-09-11,1982-12-04,1983-10-01,,,2012-12-28,HYDRO QUEBEC,76.22,
CANADA,GENTILLY-3,CA,PHWR ,CANDU,Cancelled Plan,GENTILLY,Inland near a river,HYDRO QUEBEC,2180,685,640,640,,,,,,,1982-10-01,HYDRO QUEBEC,,
CANADA,PICKERING-1,CA,PHWR ,CANDU 500A,Permanent Shutdown,PICKERING,Inland near a lake,Ontario Power Generation,1744,542,508,515,1966-06-01,1971-02-25,1971-04-04,1971-07-29,1997-12-31,2005-09-26,2024-10-01,Ontario Power Generation,67.1,
CANADA,PICKERING-2,CA,PHWR ,CANDU 500A,Permanent Shutdown,PICKERING,Inland near a lake,Ontario Power Generation,1744,542,508,515,1966-09-01,1971-09-15,1971-10-06,1971-12-30,1997-12-31,2007-05-28,2007-05-28,Ontario Power Generation,60.26,
CANADA,PICKERING-3,CA,PHWR ,CANDU 500A,Permanent Shutdown,PICKERING,Inland near a lake,Ontario Power Generation,1744,542,508,515,1967-12-01,1972-04-24,1972-05-03,1972-06-01,1997-12-29,2008-10-31,2008-10-31,Ontario Power Generation,68.98,
CANADA,PICKERING-4,CA,PHWR ,CANDU 500A,Permanent Shutdown,PICKERING,Inland near a lake,Ontario Power Generation,1744,542,508,515,1968-05-01,1973-05-16,1973-05-21,1973-06-17,1998-01-02,2003-09-21,2024-12-31,Ontario Power Generation,69.1,
CANADA,PICKERING-5,CA,PHWR ,CANDU 500B,Operational,PICKERING,Inland near a lake,Ontario Power Generation,1744,540,516,516,1974-11-01,1982-10-23,1982-12-19,1983-05-10,,,,Ontario Power Generation,73.9,139.71
CANADA,PICKERING-6,CA,PHWR ,CANDU 500B,Operational,PICKERING,Inland near a lake,Ontario Power Generation,1744,540,516,516,1975-10-01,1983-10-15,1983-11-08,1984-02-01,,,,Ontario Power Generation,78.96,146.65
CANADA,PICKERING-7,CA,PHWR ,CANDU 500B,Operational,PICKERING,Inland near a lake,Ontario Power Generation,1744,540,516,516,1976-03-01,1984-10-22,1984-11-17,1985-01-01,,,,Ontario Power Generation,78.03,141.56
CANADA,PICKERING-8,CA,PHWR ,CANDU 500B,Operational,PICKERING,Inland near a lake,Ontario Power Generation,1744,540,516,516,1976-09-01,1985-12-17,1986-01-21,1986-02-28,,,,Ontario Power Generation,75.67,133.11
CANADA,POINT LEPREAU,CA,PHWR ,CANDU 6,Operational,POINT LEPREAU,Seacoast,NEW BRUNSWICK ELECTRIC POWER COMMISSION,2180,705,660,660,1975-05-01,1982-07-25,1982-09-11,1983-02-01,,,,NEW BRUNSWICK ELECTRIC POWER COMMISSION,70.79,172.12
CANADA,ROLPHTON NPD,CA,PHWR ,CANDU,Permanent Shutdown,NPD,Inland near a river,NUCLEAR PORTION: AECL ; CONVENTIONAL PORTION: ONTA,92,25,17,22,1958-01-01,1962-04-11,1962-06-04,1962-10-01,,,1987-08-01,ONTARIO HYDRO,67.07,
CHINA,BAILONG-1,CN,PWR  ,CAP1000,Under Construction,FANGCHENGGANG,Seacoast,"China Power Investment Guangxi Nuclear Power Co., ",3400,1254,1160,1160,2025-12-22,,,,,,,"China Power Investment Guangxi Nuclear Power Co., ",,
CHINA,BAMAOSHAN,CN,PWR  ,CPR-1000,Cancelled Plan,WUHU,Inland near a river,China Guangdong Nuclear Power Group,2905,1080,900,900,,,,,,,2019-11-17,,,
CHINA,CHANGJIANG-1,CN,PWR  ,CNP-600,Operational,CHANG JIANG,Seacoast,Hainan Nuclear Power Company,1930,650,601,601,2010-04-25,2015-10-12,2015-11-07,2015-12-25,,,,Hainan Nuclear Power Company,81.51,38.69
CHINA,CHANGJIANG-2,CN,PWR  ,CNP-600,Operational,CHANG JIANG,Seacoast,CHINA NATIONAL NUCLEAR CORPORATION,1930,650,601,601,2010-11-21,2016-06-09,2016-06-20,2016-08-12,,,,Hainan Nuclear Power Company,81.01,36.15
CHINA,CHANGJIANG-3,CN,PWR  ,HPR1000,Under Construction,CHANG JIANG,Seacoast,China Huaneng Group,3190,1198,1000,1000,2021-03-31,,,,,,,China Huaneng Group,,
CHINA,CHANGJIANG-4,CN,PWR  ,HPR1000,Under Construction,CHANG JIANG,Seacoast,China Huaneng Group,3190,1198,1000,1000,2021-12-28,,,,,,,China Huaneng Group,,
CHINA,DAYA BAY-1,CN,PWR  ,M310,Operational,GUANGDONG,Seacoast,GUANGDONG NUCLEAR POWER JOINT VENTURE COMPANY LIMI,2905,1026,930,986,1987-08-07,1993-07-28,1993-08-31,1994-02-01,,,,Daya Bay Nuclear Power Operations and Management C,86.97,221.79
CHINA,DAYA BAY-2,CN,PWR  ,M310,Operational,GUANGDONG,Seacoast,GUANGDONG NUCLEAR POWER JOINT VENTURE COMPANY LIMI,2905,1026,930,986,1988-04-07,1994-01-21,1994-02-07,1994-05-06,,,,Daya Bay Nuclear Power Operations and Management C,87.0,220.29
CHINA,FANGCHENGGANG-1,CN,PWR  ,CPR-1000,Operational,FANGCHENGGANG,Seacoast,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",2905,1086,1000,1000,2010-07-30,2015-10-13,2015-10-25,2016-01-01,,,,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",86.67,69.06
CHINA,FANGCHENGGANG-2,CN,PWR  ,CPR-1000,Operational,FANGCHENGGANG,Seacoast,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",2905,1086,1000,1000,2010-12-23,2016-06-29,2016-07-15,2016-10-01,,,,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",89.75,65.46
CHINA,FANGCHENGGANG-3,CN,PWR  ,HPR1000,Operational,FANGCHENGGANG,Seacoast,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",3150,1180,1000,1000,2015-12-24,2022-12-27,2023-01-10,2023-03-25,,,,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",90.27,14.16
CHINA,FANGCHENGGANG-4,CN,PWR  ,HPR1000,Operational,FANGCHENGGANG,Seacoast,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",3150,1180,1000,1000,2016-12-23,2024-04-03,2024-04-09,2024-05-25,,,,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",98.09,5.22
CHINA,FANGCHENGGANG-5,CN,PWR  ,,Planned,FANGCHENGGANG,Seacoast,,,,1000,1000,,,,,,,,,,
CHINA,FANGCHENGGANG-6,CN,PWR  ,,Planned,FANGCHENGGANG,Seacoast,,,,1000,1000,,,,,,,,,,
CHINA,FANGJIASHAN-1,CN,PWR  ,CPR-1000,Operational,QINSHAN,Seacoast,QINSHAN NUCLEAR POWER COMPANY,2905,1089,1000,1012,2008-12-26,2014-10-21,2014-11-04,2014-12-15,,,,CNNC Nuclear Operation Management Company Limited,90.43,80.9
CHINA,FANGJIASHAN-2,CN,PWR  ,CPR-1000,Operational,QINSHAN,Seacoast,QINSHAN NUCLEAR POWER COMPANY,2905,1089,1000,1012,2009-07-17,2014-12-25,2015-01-12,2015-02-12,,,,CNNC Nuclear Operation Management Company Limited,90.72,79.91
CHINA,FUQING-1,CN,PWR  ,CNP-1000,Operational,FUQING,Seacoast,"CNNC Fujian Fuqing Nuclear Power Co., LTD",2905,1089,1000,1000,2008-11-21,2014-07-24,2014-08-20,2014-11-22,,,,"CNNC Fujian Fuqing Nuclear Power Co., LTD",85.03,75.4
CHINA,FUQING-2,CN,PWR  ,CNP-1000,Operational,FUQING,Seacoast,"CNNC Fujian Fuqing Nuclear Power Co., LTD",2905,1089,1000,1000,2009-06-17,2015-07-22,2015-08-06,2015-10-16,,,,"CNNC Fujian Fuqing Nuclear Power Co., LTD",85.55,69.48
