country,unit,iso_code,type,model,status,site_name,site_location,owner_long_name,latest_thermal_power,latest_gross_electr_power,original_design_net_electr_power,latest_ref_unit_power_net,construction_date,criticality_date,grid_date,commercial_date,suspended_operation_date,susp_op_end_date,permanent_shutdown_date,operator_long_name,load_factor,lifetime_electr_supplied
RUSSIA,BILIBINO-1,RU,LWGR ,EGP-6,Permanent Shutdown,BILIBINO,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',62,12,11,11,1970-01-01,1973-12-11,1974-01-12,1974-04-01,,,2018-03-23,Joint Stock Company 'Concern Rosenergoatom',52.19,
RUSSIA,BILIBINO-2,RU,LWGR ,EGP-6,Permanent Shutdown,BILIBINO,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',62,12,11,11,1970-01-01,1974-12-07,1974-12-30,1975-02-01,,,2025-11-30,Joint Stock Company 'Concern Rosenergoatom',50.55,2.37
RUSSIA,BILIBINO-3,RU,LWGR ,EGP-6,Permanent Shutdown,BILIBINO,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',62,12,11,11,1970-01-01,1975-12-06,1975-12-22,1976-02-01,,,2025-12-18,Joint Stock Company 'Concern Rosenergoatom',52.27,2.4
RUSSIA,BILIBINO-4,RU,LWGR ,EGP-6,Permanent Shutdown,BILIBINO,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',62,12,11,11,1970-01-01,1976-12-12,1976-12-27,1977-01-01,,,2025-12-29,Joint Stock Company 'Concern Rosenergoatom',50.57,2.24
RUSSIA,BILIBINO-5,RU,LWGR ,,Cancelled Plan,BILIBINO,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',0,32,31,31,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,BILIBINO-6,RU,LWGR ,,Cancelled Plan,BILIBINO,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',0,32,31,31,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,BILIBINO-7,RU,LWGR ,,Cancelled Plan,BILIBINO,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',0,32,31,31,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,BN-1600,RU,FBR  ,BN-1600,Suspended Plan,BN-1600,,Joint Stock Company 'Concern Rosenergoatom',4200,1600,1500,1500,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,BREST-OD-300,RU,FBR  ,BREST-OD-300,Under Construction,SEVERSK,,,700,306,300,300,2021-06-08,,,,,,,,,
RUSSIA,CENTRAL-1,RU,PWR  ,VVER V-510,Cancelled Plan,CENTRAL,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3300,1255,1255,1255,,,,,,,2024-01-27,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,CENTRAL-2,RU,PWR  ,VVER V-510,Cancelled Plan,CENTRAL,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3300,1255,1255,1255,,,,,,,2024-01-27,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,CENTRAL-3,RU,PWR  ,,Cancelled Plan,CENTRAL,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3200,1200,1115,1115,,,,,,,2024-01-27,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,CENTRAL-4,RU,PWR  ,,Cancelled Plan,CENTRAL,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3200,1200,1115,1115,,,,,,,2024-01-27,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,CHUKOTKA SMR,RU,PWR  ,,Considered,BILIBINO,Inland near a river,,,,,,,,,,,,,,,
RUSSIA,GORKIY (HEAT ONLY),RU,BWR  ,AST 500,Cancelled Constr.,GORKIY,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',1500,500,500,0,1982-01-01,,,,,,1993-12-01,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,KALININ-1,RU,PWR  ,VVER V-338,Operational,KALININ,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3000,1000,950,950,1977-02-01,1984-04-10,1984-05-09,1985-06-12,,,,Joint Stock Company 'Concern Rosenergoatom',77.01,256.73
RUSSIA,KALININ-2,RU,PWR  ,VVER V-338,Operational,KALININ,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3000,1000,950,950,1982-02-01,1986-11-25,1986-12-03,1987-03-03,,,,Joint Stock Company 'Concern Rosenergoatom',81.83,258.59
RUSSIA,KALININ-3,RU,PWR  ,VVER V-320,Operational,KALININ,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3200,1000,950,950,1985-10-01,2004-11-25,2004-12-16,2005-11-08,,,,Joint Stock Company 'Concern Rosenergoatom',87.34,142.36
RUSSIA,KALININ-4,RU,PWR  ,VVER V-320,Operational,KALININ,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3200,1000,950,950,1986-08-01,2011-11-08,2011-11-24,2012-12-25,,,,Joint Stock Company 'Concern Rosenergoatom',93.29,98.56
RUSSIA,KHABAROVSK-1,RU,PWR  ,,Considered,BASHKIR,Inland near a river,,,,,,,,,,,,,,,
RUSSIA,KHABAROVSK-2,RU,PWR  ,,Considered,BASHKIR,Inland near a river,,,,,,,,,,,,,,,
RUSSIA,KOLA 2-1,RU,PWR  ,-,Planned,KOLA,Seacoast,Joint Stock Company 'Concern Rosenergoatom',3200,600,550,550,2030-12-31,2035-02-15,2035-06-30,2035-12-31,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,KOLA 2-2,RU,PWR  ,-,Planned,KOLA,Seacoast,Joint Stock Company 'Concern Rosenergoatom',3200,600,570,570,,,2037-12-31,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,KOLA 2-3,RU,PWR  ,,Considered,KOLA 2,Inland near a lake,,,,,,,,,,,,,,,
RUSSIA,KOLA-1,RU,PWR  ,VVER V-230,Operational,KOLA,Seacoast,Joint Stock Company 'Concern Rosenergoatom',1375,440,411,411,1970-05-01,1973-06-26,1973-06-29,1973-12-28,,,,Joint Stock Company 'Concern Rosenergoatom',63.55,117.68
RUSSIA,KOLA-2,RU,PWR  ,VVER V-230,Operational,KOLA,Seacoast,Joint Stock Company 'Concern Rosenergoatom',1375,440,411,411,1970-05-01,1974-11-30,1974-12-09,1975-02-21,,,,Joint Stock Company 'Concern Rosenergoatom',63.97,115.05
RUSSIA,KOLA-3,RU,PWR  ,VVER V-213,Operational,KOLA,Seacoast,Joint Stock Company 'Concern Rosenergoatom',1375,440,411,411,1977-04-01,1981-02-07,1981-03-24,1982-12-03,,,,Joint Stock Company 'Concern Rosenergoatom',70.33,109.07
RUSSIA,KOLA-4,RU,PWR  ,VVER V-213,Operational,KOLA,Seacoast,Joint Stock Company 'Concern Rosenergoatom',1375,440,411,411,1976-08-01,1984-10-07,1984-10-11,1984-12-06,,,,Joint Stock Company 'Concern Rosenergoatom',72.68,104.94
RUSSIA,KOSTROMA-1,RU,PWR  ,VVER V-407,Cancelled Plan,KOSTROMA,,Joint Stock Company 'Concern Rosenergoatom',3200,1000,950,950,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,KOSTROMA-2,RU,PWR  ,VVER V-407,Cancelled Plan,KOSTROMA,,Joint Stock Company 'Concern Rosenergoatom',3200,1000,950,950,,,,,,,1990-06-15,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,KRASNODAR-1,RU,PWR  ,VVER,Cancelled Plan,KRASNODAR,,Joint Stock Company 'Concern Rosenergoatom',3200,1000,950,950,,,,,,,1988-01-01,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,KURSK 2-1,RU,PWR  ,VVER V-510,Operational,KURSK,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3300,1255,1200,1200,2018-04-28,2025-05-22,2025-12-31,2026-12-01,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,KURSK 2-2,RU,PWR  ,VVER V-510,Under Construction,KURSK,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3300,1255,1200,1200,2019-04-15,2026-12-06,2027-03-07,2027-11-10,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,KURSK 2-3,RU,PWR  ,VVER V-510,Planned,KURSK,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3300,1255,1200,1200,2026-01-31,2031-12-01,2031-12-12,2031-12-31,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,KURSK 2-4,RU,PWR  ,VVER V-510,Planned,KURSK,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3300,1255,1200,1200,2028-04-08,2033-12-01,2034-01-01,2034-12-01,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,KURSK-1,RU,LWGR ,RBMK-1000,Permanent Shutdown,KURSK,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3200,1000,925,925,1972-06-01,1976-10-25,1976-12-19,1977-12-12,,,2021-12-19,Joint Stock Company 'Concern Rosenergoatom',63.98,
RUSSIA,KURSK-2,RU,LWGR ,RBMK-1000,Permanent Shutdown,KURSK,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3200,1000,925,925,1973-01-01,1978-12-16,1979-01-28,1979-04-25,,,2024-01-31,Joint Stock Company 'Concern Rosenergoatom',65.09,
RUSSIA,KURSK-3,RU,LWGR ,RBMK-1000,Operational,KURSK,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3200,1000,925,925,1978-04-01,1983-08-09,1983-10-17,1984-03-30,,,,Joint Stock Company 'Concern Rosenergoatom',74.29,247.56
RUSSIA,KURSK-4,RU,LWGR ,RBMK-1000,Operational,KURSK,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3200,1000,925,925,1981-05-01,1985-10-31,1985-12-02,1986-02-05,,,,Joint Stock Company 'Concern Rosenergoatom',78.35,247.87
RUSSIA,KURSK-5,RU,LWGR ,RBMK-1000,Cancelled Constr.,KURSK,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3200,1000,915,915,1985-12-01,,,,,,2012-08-15,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,KURSK-6,RU,LWGR ,RBMK-1000,Cancelled Constr.,KURSK,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3200,1000,925,925,1986-08-01,,,,,,1993-12-01,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,LENINGRAD 2-1,RU,PWR  ,VVER V-491,Operational,LENINGRAD,Seacoast,Joint Stock Company 'Concern Rosenergoatom',3200,1188,1066,1101,2008-10-25,2018-02-06,2018-03-09,2018-10-29,,,,Joint Stock Company 'Concern Rosenergoatom',71.29,44.45
RUSSIA,LENINGRAD 2-2,RU,PWR  ,VVER V-491,Operational,LENINGRAD,Seacoast,Joint Stock Company 'Concern Rosenergoatom',3200,1188,1066,1101,2010-04-15,2020-08-29,2020-10-22,2021-03-18,,,,Joint Stock Company 'Concern Rosenergoatom',84.73,33.26
RUSSIA,LENINGRAD 2-3,RU,PWR  ,VVER V-491,Under Construction,LENINGRAD,Seacoast,Joint Stock Company 'Concern Rosenergoatom',3200,1199,1150,1150,2024-03-14,2029-12-31,2030-12-31,2031-01-31,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,LENINGRAD 2-4,RU,PWR  ,VVER V-491,Under Construction,LENINGRAD,Seacoast,Joint Stock Company 'Concern Rosenergoatom',3200,1199,1150,1150,2025-03-20,2031-12-31,2032-12-31,2033-12-31,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,LENINGRAD-1,RU,LWGR ,RBMK-1000,Permanent Shutdown,LENINGRAD,Seacoast,Joint Stock Company 'Concern Rosenergoatom',3200,1000,925,925,1970-03-01,1973-09-12,1973-12-21,1974-11-01,,,2018-12-22,Joint Stock Company 'Concern Rosenergoatom',67.46,
RUSSIA,LENINGRAD-2,RU,LWGR ,RBMK-1000,Permanent Shutdown,LENINGRAD,Seacoast,Joint Stock Company 'Concern Rosenergoatom',3200,1000,925,925,1970-06-01,1975-05-06,1975-07-11,1975-11-11,,,2020-11-10,Joint Stock Company 'Concern Rosenergoatom',69.87,
RUSSIA,LENINGRAD-3,RU,LWGR ,RBMK-1000,Operational,LENINGRAD,Seacoast,Joint Stock Company 'Concern Rosenergoatom',3200,1000,925,925,1973-12-01,1979-09-17,1979-12-07,1980-06-29,,,,Joint Stock Company 'Concern Rosenergoatom',73.07,266.57
RUSSIA,LENINGRAD-4,RU,LWGR ,RBMK-1000,Operational,LENINGRAD,Seacoast,Joint Stock Company 'Concern Rosenergoatom',3200,1000,925,925,1975-02-01,1980-12-29,1981-02-09,1981-08-29,,,,Joint Stock Company 'Concern Rosenergoatom',74.39,256.92
RUSSIA,NIZHEGORODSK-1,RU,PWR  ,,Cancelled Plan,NIZHEGORODSK,,Joint Stock Company 'Concern Rosenergoatom',3300,1255,1175,1175,,,,,,,2024-12-01,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,NIZHEGORODSK-2,RU,PWR  ,,Cancelled Plan,NIZHEGORODSK,,Joint Stock Company 'Concern Rosenergoatom',3300,1255,1175,1175,,,,,,,2024-12-01,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,NIZHEGORODSK-3,RU,PWR  ,,Cancelled Plan,NIZHEGORODSK,,Joint Stock Company 'Concern Rosenergoatom',3300,1255,1175,1115,,,,,,,2024-12-01,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,NIZHEGORODSK-4,RU,PWR  ,,Cancelled Plan,NIZHEGORODSK,,Joint Stock Company 'Concern Rosenergoatom',3300,1255,1175,1115,,,,,,,2024-12-01,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,NORILSK SMR-1,RU,PWR  ,,Considered,,,,,,80,80,,,,,,,,,,
RUSSIA,NORILSK SMR-2,RU,PWR  ,,Considered,,,,,,80,80,,,,,,,,,,
RUSSIA,NORILSK SMR-3,RU,PWR  ,,Considered,,,,,,80,80,,,,,,,,,,
RUSSIA,NORILSK SMR-4,RU,PWR  ,,Considered,,,,,,80,80,,,,,,,,,,
RUSSIA,NOVOVORONEZH 2-1,RU,PWR  ,VVER V-392M,Operational,NOVOVORONEZH-2,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3200,1180,1114,1100,2008-06-24,2016-05-20,2016-08-05,2017-02-27,,,,Joint Stock Company 'Concern Rosenergoatom',77.04,59.92
RUSSIA,NOVOVORONEZH 2-2,RU,PWR  ,VVER V-392M,Operational,NOVOVORONEZH-2,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3200,1181,1114,1101,2009-07-12,2019-03-22,2019-05-01,2019-10-31,,,,Joint Stock Company 'Concern Rosenergoatom',81.14,42.69
RUSSIA,NOVOVORONEZH 2-3,RU,PWR  ,,Considered,NOVOVORONEZH-2,Inland near a river,,,,,,,,,,,,,,,
RUSSIA,NOVOVORONEZH-1,RU,PWR  ,VVER V-210,Permanent Shutdown,NOVOVORONEZH,Inland near a river,MINISTRY OF MEDIUM MACHINE BUILDING OF THE USSR (M,760,210,197,197,1957-07-01,1963-12-17,1964-09-30,1964-12-29,,,1984-08-06,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,NOVOVORONEZH-2,RU,PWR  ,VVER V-365,Permanent Shutdown,NOVOVORONEZH,Inland near a river,MINISTRY OF MEDIUM MACHINE BUILDING OF THE USSR (M,1320,365,336,336,1964-06-01,1969-12-23,1969-12-27,1970-04-14,,,1990-01-23,Joint Stock Company 'Concern Rosenergoatom',72.2,
RUSSIA,NOVOVORONEZH-3,RU,PWR  ,VVER V-179,Permanent Shutdown,NOVOVORONEZH,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',1375,417,385,385,1967-07-01,1971-12-22,1971-12-27,1972-06-29,,,2016-12-25,Joint Stock Company 'Concern Rosenergoatom',72.13,
RUSSIA,NOVOVORONEZH-4,RU,PWR  ,VVER V-179,Operational,NOVOVORONEZH,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',1375,417,385,385,1967-07-01,1972-12-25,1972-12-28,1973-03-24,,,,Joint Stock Company 'Concern Rosenergoatom',78.26,137.4
RUSSIA,NOVOVORONEZH-5,RU,PWR  ,VVER V-187,Operational,NOVOVORONEZH,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3000,1000,950,950,1974-03-01,1980-04-30,1980-05-31,1981-02-20,,,,Joint Stock Company 'Concern Rosenergoatom',67.76,242.17
RUSSIA,PEVEK-1,RU,PWR  ,KLT-40S,Suspended Plan,PEVEK,Seacoast,Joint Stock Company 'Concern Rosenergoatom',150,38,32,32,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,PEVEK-2,RU,PWR  ,KLT-40S,Suspended Plan,PEVEK,Seacoast,Joint Stock Company 'Concern Rosenergoatom',150,35,32,32,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,PRIMORSK-1,RU,PWR  ,,Suspended Plan,PRIMORSK,,Joint Stock Company 'Concern Rosenergoatom',3200,1200,0,1115,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,PRIMORSK-2,RU,PWR  ,,Suspended Plan,PRIMORSK,,Joint Stock Company 'Concern Rosenergoatom',3200,1200,1115,1115,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,REFTINSKAYA-1,RU,FBR  ,,Considered,,,,,,1255,1255,,,,,,,,,,
RUSSIA,ROSTOV-1,RU,PWR  ,VVER V-320,Operational,VOLGODONSK,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3200,1041,950,989,1981-09-01,2001-02-23,2001-03-30,2001-12-25,,,,Joint Stock Company 'Concern Rosenergoatom',90.92,179.36
RUSSIA,ROSTOV-2,RU,PWR  ,VVER V-320,Operational,VOLGODONSK,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3200,1000,950,950,1983-05-01,2010-01-22,2010-03-18,2010-12-10,,,,Joint Stock Company 'Concern Rosenergoatom',92.98,112.68
RUSSIA,ROSTOV-3,RU,PWR  ,VVER V-320,Operational,VOLGODONSK,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3000,1000,950,950,2009-09-15,2014-12-07,2014-12-27,2015-09-17,,,,Joint Stock Company 'Concern Rosenergoatom',89.33,71.78
RUSSIA,ROSTOV-4,RU,PWR  ,VVER V-320,Operational,VOLGODONSK,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3000,1030,950,979,2010-06-16,2017-12-29,2018-02-02,2018-09-28,,,,Joint Stock Company 'Concern Rosenergoatom',90.81,52.11
RUSSIA,ROSTOV-5,RU,PWR  ,VVER V-320,Suspended Plan,VOLGODONSK,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3200,1000,950,950,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,ROSTOV-6,RU,PWR  ,VVER V-320,Suspended Plan,VOLGODONSK,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3200,1000,950,950,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,SEVERSK-1,RU,PWR  ,VVER V-510,Planned,SEVERSK,,Joint Stock Company 'Concern Rosenergoatom',3300,1255,1,1,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,SEVERSK-2,RU,PWR  ,VVER V-510,Planned,SEVERSK,,Joint Stock Company 'Concern Rosenergoatom',700,510,300,300,,,2030-12-31,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,SIBERIAN-1,RU,FBR  ,,Considered,SEVERSK,,,,,,,,,,,,,,,,
RUSSIA,SIBERIAN-2,RU,FBR  ,,Considered,SEVERSK,,,,,,,,,,,,,,,,
RUSSIA,SMOLENSK 2-1,RU,PWR  ,VVER V-558,Planned,SMOLENSK,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3300,1255,1200,1200,2027-03-28,2032-01-01,2032-12-01,2033-01-06,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,SMOLENSK 2-2,RU,PWR  ,VVER V-558,Planned,SMOLENSK,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3300,1255,1200,1200,2028-12-21,2034-12-01,2035-12-01,2035-12-31,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,SMOLENSK-1,RU,LWGR ,RBMK-1000,Operational,SMOLENSK,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3200,1000,925,925,1975-10-01,1982-09-10,1982-12-09,1983-09-30,,,,Joint Stock Company 'Concern Rosenergoatom',74.99,253.59
RUSSIA,SMOLENSK-2,RU,LWGR ,RBMK-1000,Operational,SMOLENSK,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3200,1000,925,925,1976-06-01,1985-04-09,1985-05-31,1985-07-02,,,,Joint Stock Company 'Concern Rosenergoatom',77.13,247.62
RUSSIA,SMOLENSK-3,RU,LWGR ,RBMK-1000,Operational,SMOLENSK,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3200,1000,925,925,1984-05-01,1989-12-29,1990-01-17,1990-10-12,,,,Joint Stock Company 'Concern Rosenergoatom',80.82,227.25
RUSSIA,SMOLENSK-4,RU,LWGR ,RBMK-1000,Cancelled Constr.,SMOLENSK,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',3200,1000,925,925,1984-10-01,,,,,,1993-12-01,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,SMOLENSK-5,RU,PWR  ,VVER,Cancelled Plan,SMOLENSK,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',4200,1500,1450,1450,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,SMOLENSK-6,RU,PWR  ,VVER,Cancelled Plan,SMOLENSK,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',4200,1500,1450,1450,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,SOUTH URALS-1,RU,FBR  ,BN-1200,Planned,SOUTH URALS,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3000,1220,1115,1115,,,2030-01-01,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,SOUTH URALS-2,RU,FBR  ,BN-1200,Planned,SOUTH URALS,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3000,1220,1115,1115,,,2030-12-31,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,SOUTH URALS-3,RU,PWR  ,,Suspended Plan,SOUTH URALS,Inland near a lake,Joint Stock Company 'Concern Rosenergoatom',3000,1200,0,1115,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,TATAR-1,RU,PWR  ,V-510,Suspended Plan,TATAR,,Joint Stock Company 'Concern Rosenergoatom',3300,1255,1175,1115,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,TATAR-1 (KAMA),RU,PWR  ,VVER V-320,Cancelled Constr.,TATAR,,Joint Stock Company 'Concern Rosenergoatom',3200,1000,950,950,1987-04-01,,,,,,1993-12-01,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,TATAR-2,RU,PWR  ,,Suspended Plan,TATAR,,Joint Stock Company 'Concern Rosenergoatom',3200,1200,1115,1115,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,TATAR-2 (KAMA),RU,PWR  ,VVER V-320,Cancelled Constr.,TATAR,,Joint Stock Company 'Concern Rosenergoatom',3200,1000,950,950,1988-05-01,,,,,,1993-12-01,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,TATAR-3 (KAMA),RU,PWR  ,VVER V-320,Cancelled Plan,TATAR,,Joint Stock Company 'Concern Rosenergoatom',3200,1000,950,950,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,TATAR-4 (KAMA),RU,PWR  ,VVER V-320,Cancelled Plan,TATAR,,Joint Stock Company 'Concern Rosenergoatom',3200,1000,950,950,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,TVERSK-1,RU,PWR  ,,Suspended Plan,TVERSK,,Joint Stock Company 'Concern Rosenergoatom',3200,1200,1115,1115,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,TVERSK-2,RU,PWR  ,,Suspended Plan,TVERSK,,Joint Stock Company 'Concern Rosenergoatom',3200,1200,1115,1115,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,TVERSK-3,RU,PWR  ,,Suspended Plan,TVERSK,,Joint Stock Company 'Concern Rosenergoatom',3200,1200,1115,1115,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,TVERSK-4,RU,PWR  ,,Suspended Plan,TVERSK,,Joint Stock Company 'Concern Rosenergoatom',3200,1200,1115,1115,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,VOLGOGRAD-1,RU,PWR  ,VVER V-320,Suspended Plan,VOLGOGRAD,,Joint Stock Company 'Concern Rosenergoatom',3200,940,900,900,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,VOLGOGRAD-2,RU,PWR  ,VVER V-320,Suspended Plan,VOLGOGRAD,,Joint Stock Company 'Concern Rosenergoatom',3200,940,900,900,,,,,,,,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,VORONEZH (HEAT ONLY)-1,RU,BWR  ,AST-500,Cancelled Constr.,VORONEZH,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',1500,500,500,0,1983-09-01,,,,,,2016-12-01,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,VORONEZH (HEAT ONLY)-2,RU,BWR  ,AST-500,Cancelled Constr.,VORONEZH,Inland near a river,Joint Stock Company 'Concern Rosenergoatom',1500,500,500,0,1985-05-01,,,,,,2016-12-01,Joint Stock Company 'Concern Rosenergoatom',,
RUSSIA,YAKUTSK SMR-1,RU,PWR  ,,Considered,,,,,,55,55,,,,,,,,,,
RUSSIA,YAKUTSK SMR-2,RU,PWR  ,,Considered,,,,,,55,55,,,,,,,,,,
RUSSIA,YUZHNAYA-1,RU,PWR  ,,Considered,,,,,,,,,,,,,,,,,
RUSSIA,YUZHNAYA-2,RU,PWR  ,,Considered,,,,,,,,,,,,,,,,,
RUSSIA,YUZNHNOURALSKAYA-1,RU,FBR  ,,Considered,SOUTH URALS,Inland near a lake,,,,,,,,,,,,,,,
RUSSIA,YUZNHNOURALSKAYA-2,RU,FBR  ,,Considered,SOUTH URALS,Inland near a lake,,,,,,,,,,,,,,,
SLOVAKIA,BOHUNICE A1,SK,HWGCR,KS 150,Permanent Shutdown,BOHUNICE A1,Inland near a river,"JADROVA A VYRADOVACIA SPOLOCNOST
/NUCLEAR AND DEC",560,143,110,93,1958-08-01,1972-10-24,1972-12-25,1972-12-25,,,1977-02-22,"JADROVA A VYRADOVACIA SPOLOCNOST
/NUCLEAR AND DEC",26.17,
SLOVAKIA,BOHUNICE NEW PROJECT,SK,PWR  ,,Considered,BOHUNICE NEW PROJECT,,,,1200,,,2033-01-01,,2039-01-01,2040-01-01,,,,,,
SLOVAKIA,BOHUNICE-1,SK,PWR  ,VVER V-230,Permanent Shutdown,BOHUNICE V1,Inland near a river,"JADROVA A VYRADOVACIA SPOLOCNOST
/NUCLEAR AND DEC",1375,440,408,408,1972-04-24,1978-11-27,1978-12-17,1980-04-01,,,2006-12-31,"JADROVA A VYRADOVACIA SPOLOCNOST
/NUCLEAR AND DEC",72.01,
